id,location_x,location_y,capacity,fixed_cost,current_load
1,1026.8052926816254,1417.9242568319855,1514,1424,0.0
2,993.764132002832,459.18948182379285,1243,1086,0.0
3,1936.2692907172857,34.142871581576415,1006,826,0.0
4,121.213053416167,438.137587826612,1616,1026,0.0
5,225.66233944591443,1910.286387517649,1115,833,0.0
6,1127.351694285947,1544.2886913953687,1425,1152,0.0
7,1265.1912164061146,452.3735978182469,1626,1145,0.0
8,1710.5496331587526,1661.5032472796447,1902,1204,0.0
9,1559.9161585897625,183.79981736843374,1769,713,0.0
10,1971.320298555642,910.9191056151843,1746,1416,0.0
11,218.9994416809007,1250.1025011736322,1156,1466,0.0
12,593.1399098517621,291.0030246605653,1580,684,0.0
13,1425.5056796586919,573.6810547762323,1693,601,0.0
14,1934.2604446458895,1463.3120715597436,1398,879,0.0
15,1330.5160087784427,547.4236094906882,1837,1190,0.0
